,Mkt-RF,SMB,HML,RF
20200302,    4.31,   -1.69,   -0.43,   0.006
20200303,   -2.79,    0.80,   -0.63,   0.006
20200304,    4.03,   -1.08,   -1.17,   0.006
20200305,   -3.38,    0.24,   -1.40,   0.006
20200306,   -1.78,    0.06,   -1.49,   0.006
20200309,   -7.78,   -0.38,   -4.76,   0.006
20200310,    4.74,   -2.49,    0.79,   0.006
20200311,   -5.05,   -0.84,   -0.82,   0.006
20200312,   -9.63,   -0.44,   -1.17,   0.006
20200313,    8.96,   -2.72,    2.99,   0.006
20200316,  -12.00,   -0.26,   -0.75,   0.006
20200317,    5.88,    0.84,   -0.68,   0.006
20200318,   -5.56,   -3.57,   -4.70,   0.006
20200319,    1.31,    5.48,    0.85,   0.006
20200320,   -4.15,    0.35,   -0.88,   0.006
20200323,   -2.55,    2.23,   -3.29,   0.006
20200324,    9.34,   -1.26,    2.39,   0.006
20200325,    1.18,   -0.73,    1.93,   0.006
20200326,    6.02,   -0.72,    1.09,   0.006
20200327,   -3.48,   -0.83,   -0.76,   0.006
20200330,    3.16,   -0.30,   -2.11,   0.006
20200331,   -1.44,    1.80,   -0.39,   0.006
20200401,   -4.51,   -1.50,   -1.42,   0.000
20200402,    2.10,   -0.98,   -0.27,   0.000
20200403,   -1.64,   -1.09,   -1.14,   0.000
20200406,    7.06,    0.76,    0.30,   0.000
20200407,   -0.11,   -0.58,    2.09,   0.000
20200408,    3.40,    0.31,    1.29,   0.000
20200409,    1.59,    1.92,    3.16,   0.000
20200413,   -0.92,   -0.84,   -2.41,   0.000
20200414,    3.02,   -0.18,   -3.13,   0.000
20200415,   -2.15,   -1.23,   -2.54,   0.000
20200416,    0.62,   -0.21,   -2.97,   0.000
20200417,    2.72,    0.73,    2.76,   0.000
20200420,   -1.56,    0.77,   -0.91,   0.000
20200421,   -3.08,    0.93,    0.16,   0.000
20200422,    2.31,   -0.69,   -1.64,   0.000
20200423,    0.13,    1.11,    0.55,   0.000
20200424,    1.44,    0.26,   -0.13,   0.000
20200427,    1.73,    1.61,    2.70,   0.000
20200428,   -0.45,    0.99,    2.85,   0.000
20200429,    2.92,    1.88,    2.00,   0.000
20200430,   -1.18,   -1.43,   -1.68,   0.000
20200501,   -2.91,   -0.56,   -0.97,   0.000
20200504,    0.54,    0.20,   -1.28,   0.000
20200505,    0.95,    0.04,   -2.01,   0.000
20200506,   -0.52,    0.53,   -2.71,   0.000
20200507,    1.33,   -0.06,    0.40,   0.000
20200508,    1.90,    1.39,    2.46,   0.000
20200511,    0.07,    0.47,   -3.78,   0.000
20200512,   -2.06,   -0.84,   -1.35,   0.000
20200513,   -1.89,   -0.90,   -2.09,   0.000
20200514,    1.14,   -1.52,    0.92,   0.000
20200515,    0.57,    1.61,   -1.16,   0.000
20200518,    3.24,    1.57,    4.61,   0.000
20200519,   -1.01,   -0.54,   -1.50,   0.000
20200520,    1.80,    1.09,    1.31,   0.000
20200521,   -0.70,    0.63,    0.41,   0.000
20200522,    0.27,    0.47,   -0.86,   0.000
20200526,    1.23,    0.10,    4.56,   0.000
20200527,    1.54,    0.65,    3.61,   0.000
20200528,   -0.41,   -1.53,   -2.43,   0.000
20200529,    0.60,   -0.29,   -1.97,   0.000
20200601,    0.52,   -0.04,    0.42,   0.000
20200602,    0.81,   -0.09,    0.54,   0.000
20200603,    1.42,    0.16,    2.63,   0.000
20200604,   -0.34,   -0.22,    2.89,   0.000
20200605,    2.50,    0.67,    2.77,   0.000
20200608,    1.39,    0.37,    2.09,   0.000
20200609,   -0.85,   -0.25,   -1.93,   0.000
20200610,   -0.56,   -0.86,   -4.10,   0.000
20200611,   -5.91,   -0.82,   -3.04,   0.000
20200612,    1.29,    0.31,    1.83,   0.000
20200615,    1.09,    1.46,   -0.39,   0.000
20200616,    1.87,    0.60,    0.49,   0.000
20200617,   -0.40,   -0.90,   -1.98,   0.000
20200618,    0.19,    0.10,   -0.53,   0.000
20200619,   -0.45,    0.09,   -0.65,   0.000
20200622,    0.71,    0.84,   -1.36,   0.000
20200623,    0.42,    0.16,   -0.60,   0.000
20200624,   -2.61,   -0.45,   -1.36,   0.000
20200625,    1.12,    0.24,    0.51,   0.000
20200626,   -2.44,    0.12,   -1.40,   0.000
20200629,    1.51,    1.25,    1.84,   0.000
20200630,    1.58,    0.08,    0.01,   0.000
20200701,    0.41,   -1.28,   -2.58,   0.001
20200702,    0.50,   -0.02,   -0.13,   0.001
20200706,    1.65,   -0.62,    0.34,   0.001
20200707,   -1.03,   -0.50,   -1.50,   0.001
20200708,    0.91,    0.30,   -0.46,   0.001
20200709,   -0.53,   -0.93,   -2.61,   0.001
20200710,    1.11,   -0.07,    3.07,   0.001
20200713,   -1.20,   -0.77,    2.04,   0.001
20200714,    1.35,    0.43,   -0.29,   0.001
20200715,    1.14,    2.42,    1.25,   0.001
20200716,   -0.37,   -0.35,    0.80,   0.001
20200717,    0.30,    0.18,   -1.43,   0.001
20200720,    1.01,   -0.45,   -2.37,   0.001
20200721,    0.15,    0.84,    3.27,   0.001
20200722,    0.49,   -0.62,   -0.37,   0.001
20200723,   -1.20,    0.72,    1.97,   0.001
20200724,   -0.75,   -0.82,    0.44,   0.001
20200727,    0.88,    0.76,   -1.99,   0.001
20200728,   -0.81,   -0.71,    1.00,   0.001
20200729,    1.35,    0.48,    0.89,   0.001
20200730,   -0.29,    0.49,   -1.84,   0.001
20200731,    0.61,   -1.60,   -0.66,   0.001
20200803,    0.98,    1.22,   -0.84,   0.000
20200804,    0.37,    0.46,    0.04,   0.000
20200805,    0.78,    1.03,    0.83,   0.000
20200806,    0.53,   -0.42,   -0.83,   0.000
20200807,    0.02,    0.91,    2.40,   0.000
20200810,    0.24,    0.88,    1.73,   0.000
20200811,   -0.83,   -0.33,    1.64,   0.000
20200812,    1.40,   -0.51,   -1.34,   0.000
20200813,   -0.01,    0.18,   -1.33,   0.000
20200814,   -0.04,   -0.09,    1.08,   0.000
20200817,    0.45,    0.59,   -1.93,   0.000
20200818,    0.22,   -1.06,   -1.43,   0.000
20200819,   -0.38,    0.47,    0.10,   0.000
20200820,    0.31,   -0.52,   -1.55,   0.000
20200821,    0.26,   -1.09,   -0.43,   0.000
20200824,    0.92,   -0.37,    2.59,   0.000
20200825,    0.36,    0.15,   -0.65,   0.000
20200826,    1.00,   -1.17,   -1.74,   0.000
20200827,    0.18,   -0.34,    0.95,   0.000
20200828,    0.70,    0.26,   -0.23,   0.000
20200831,   -0.04,   -0.42,   -1.76,   0.000
20200901,    0.92,    0.44,   -0.30,   0.000
20200902,    1.27,   -0.50,   -0.45,   0.000
20200903,   -3.70,   -0.23,    2.60,   0.000
20200904,   -0.87,   -0.17,    2.06,   0.000
20200908,   -2.91,    0.66,   -0.28,   0.000
20200909,    2.07,   -0.17,   -2.00,   0.000
20200910,   -1.64,    0.30,   -0.07,   0.000
20200911,   -0.06,   -0.84,    0.89,   0.000
20200914,    1.59,    1.19,   -0.80,   0.000
20200915,    0.57,   -0.27,   -1.43,   0.000
20200916,   -0.39,    0.76,    1.31,   0.000
20200917,   -0.85,    0.36,    0.20,   0.000
20200918,   -0.88,    0.79,   -0.21,   0.000
20200921,   -1.08,   -2.03,   -1.89,   0.000
20200922,    1.02,   -0.14,   -1.63,   0.000
20200923,   -2.48,   -0.71,    0.16,   0.000
20200924,    0.25,   -0.21,    0.38,   0.000
20200925,    1.72,    0.14,   -1.34,   0.000
20200928,    1.66,    0.73,    1.05,   0.000
20200929,   -0.42,    0.76,   -1.33,   0.000
20200930,    0.79,   -0.73,    0.16,   0.000
20201001,    0.79,    1.04,   -0.54,   0.000
20201002,   -0.96,    1.08,    2.44,   0.000
20201005,    1.93,    1.02,   -0.10,   0.000
20201006,   -1.28,    0.74,    0.26,   0.000
20201007,    1.84,    0.53,    0.22,   0.000
20201008,    0.80,    0.03,    0.99,   0.000
20201009,    0.93,    0.01,   -1.41,   0.000
20201012,    1.53,   -0.83,   -0.09,   0.000
20201013,   -0.41,    0.18,   -1.72,   0.000
20201014,   -0.65,    0.09,    0.03,   0.000
20201015,   -0.08,    0.89,    1.14,   0.000
20201016,   -0.06,   -0.18,    0.06,   0.000
20201019,   -1.53,    0.35,    0.30,   0.000
20201020,    0.34,   -0.24,    1.26,   0.000
20201021,   -0.36,   -0.47,    0.41,   0.000
20201022,    0.67,    0.61,    1.03,   0.000
20201023,    0.38,    0.42,    0.04,   0.000
20201026,   -1.85,   -0.28,   -0.39,   0.000
20201027,   -0.23,   -0.07,   -2.33,   0.000
20201028,   -3.41,    0.01,    0.58,   0.000
20201029,    1.13,    0.17,    0.27,   0.000
20201030,   -1.45,   -0.80,    1.86,   0.000
20201102,    1.17,    0.53,    0.99,   0.000
20201103,    1.93,    1.00,   -0.20,   0.000
20201104,    2.25,   -1.49,   -5.00,   0.000
20201105,    2.13,    1.00,    0.52,   0.000
20201106,    0.01,   -0.86,   -0.93,   0.000
20201109,    0.86,    0.80,    6.74,   0.000
20201110,   -0.17,    1.56,    2.16,   0.000
20201111,    0.88,   -0.57,   -1.75,   0.000
20201112,   -0.94,   -0.23,   -1.18,   0.000
20201113,    1.31,    0.61,    1.14,   0.000
20201116,    1.22,    0.78,    2.00,   0.000
20201117,   -0.19,    0.61,    0.00,   0.000
20201118,   -0.93,   -0.03,    0.02,   0.000
20201119,    0.59,    0.47,   -0.76,   0.000
20201120,   -0.51,    0.68,   -0.60,   0.000
20201123,    0.83,    0.87,    1.57,   0.000
20201124,    1.56,   -0.11,    2.76,   0.000
20201125,    0.03,    0.00,   -1.33,   0.000
20201127,    0.43,    0.47,   -1.62,   0.000
20201130,   -0.53,   -0.99,   -2.07,   0.000
20201201,    0.98,   -0.26,    0.54,   0.000
20201202,    0.11,   -0.09,    1.07,   0.000
20201203,    0.18,    0.49,   -0.09,   0.000
20201204,    1.02,    1.47,    0.84,   0.000
20201207,    0.03,    0.24,   -1.02,   0.000
20201208,    0.47,    1.02,   -0.71,   0.000
20201209,   -1.03,   -0.06,    1.28,   0.000
20201210,    0.24,    1.12,   -0.47,   0.000
20201211,   -0.20,   -0.38,   -0.71,   0.000
20201214,   -0.28,    0.58,   -1.52,   0.000
20201215,    1.28,    1.08,    0.36,   0.000
20201216,    0.17,   -0.43,   -0.38,   0.000
20201217,    0.79,    0.69,   -0.71,   0.000
20201218,   -0.12,    0.07,   -1.17,   0.000
20201221,   -0.23,    0.13,   -0.05,   0.000
20201222,    0.06,    1.21,   -1.61,   0.000
20201223,    0.10,    0.38,    2.03,   0.000
20201224,    0.21,   -0.41,   -0.19,   0.000
20201228,    0.46,   -0.73,    0.36,   0.000
20201229,   -0.40,   -1.53,    0.24,   0.000
20201230,    0.27,    1.01,    0.03,   0.000
20201231,    0.39,   -0.89,    0.41,   0.000
20210104,   -1.41,    0.22,    0.58,   0.000
20210105,    0.86,    1.23,    0.48,   0.000
20210106,    0.79,    2.14,    3.93,   0.000
20210107,    1.76,    0.33,   -0.83,   0.000
20210108,    0.51,   -0.75,   -1.38,   0.000
20210111,   -0.51,    0.26,    1.26,   0.000
20210112,    0.38,    1.29,    1.21,   0.000
20210113,    0.07,   -0.93,   -0.45,   0.000
20210114,   -0.11,    2.03,    1.11,   0.000
20210115,   -0.86,   -0.49,   -0.76,   0.000
20210119,    0.92,    0.88,   -0.80,   0.000
20210120,    1.26,   -0.39,   -1.08,   0.000
20210121,   -0.04,   -0.55,   -0.94,   0.000
20210122,   -0.07,    1.87,   -0.12,   0.000
20210125,    0.29,   -0.05,   -0.41,   0.000
20210126,   -0.32,    0.02,    0.01,   0.000
20210127,   -2.53,    1.33,    1.55,   0.000
20210128,    0.92,   -1.94,   -0.91,   0.000
20210129,   -1.84,    0.59,    0.58,   0.000
20210201,    1.73,    0.93,   -1.47,   0.000
20210202,    1.48,   -0.85,   -1.08,   0.000
20210203,    0.15,    0.43,    0.70,   0.000
20210204,    1.23,    0.38,    0.37,   0.000
20210205,    0.58,    1.07,   -0.47,   0.000
20210208,    0.96,    2.11,    0.39,   0.000
20210209,    0.05,    0.71,   -0.17,   0.000
20210210,   -0.08,   -0.48,    0.64,   0.000
20210211,    0.19,   -0.22,   -0.43,   0.000
20210212,    0.49,   -0.14,    0.49,   0.000
20210216,   -0.14,   -0.61,    1.88,   0.000
20210217,   -0.21,   -0.85,    0.61,   0.000
20210218,   -0.63,   -1.55,   -0.19,   0.000
20210219,    0.16,    1.79,    0.71,   0.000
20210222,   -1.13,   -0.05,    3.16,   0.000
20210223,   -0.15,   -1.27,    0.90,   0.000
20210224,    1.15,    1.21,    1.40,   0.000
20210225,   -2.74,   -1.14,    0.92,   0.000
20210226,   -0.28,    0.66,   -1.57,   0.000
20210301,    2.63,    1.09,    0.23,   0.000
20210302,   -1.05,   -1.09,    1.24,   0.000
20210303,   -1.57,   -0.19,    3.57,   0.000
20210304,   -1.70,   -1.36,    1.71,   0.000
20210305,    1.85,    0.21,    0.62,   0.000
20210308,   -0.67,    0.61,    3.70,   0.000
20210309,    1.79,    1.29,   -3.24,   0.000
20210310,    0.68,    0.77,    1.82,   0.000
20210311,    1.44,    1.60,   -2.02,   0.000
20210312,    0.10,    0.13,    1.30,   0.000
20210315,    0.70,   -0.11,   -1.29,   0.000
20210316,   -0.43,   -1.11,   -0.83,   0.000
20210317,    0.33,    0.47,    0.33,   0.000
20210318,   -1.88,   -1.75,    2.18,   0.000
20210319,    0.25,    1.26,   -0.99,   0.000
20210322,    0.55,   -1.20,   -2.21,   0.000
20210323,   -1.17,   -2.71,   -1.04,   0.000
20210324,   -1.01,   -1.97,    1.47,   0.000
20210325,    0.67,    1.68,    1.39,   0.000
20210326,    1.55,    0.18,    0.69,   0.000
20210329,   -0.49,   -2.40,   -0.23,   0.000
20210330,   -0.02,    1.54,    1.00,   0.000
20210331,    0.63,    1.11,   -2.33,   0.000
20210401,    1.27,    0.29,    0.00,   0.000
20210405,    1.27,   -0.59,   -0.71,   0.000
20210406,    0.01,   -0.32,    0.10,   0.000
20210407,   -0.12,   -1.61,    0.32,   0.000
20210408,    0.62,    0.59,   -1.16,   0.000
20210409,    0.65,   -0.64,    0.14,   0.000
20210412,   -0.05,   -0.62,    0.58,   0.000
20210413,    0.41,   -0.28,   -1.61,   0.000
20210414,   -0.35,    0.79,    1.41,   0.000
20210415,    1.04,   -0.44,   -1.19,   0.000
20210416,    0.27,   -0.36,    0.65,   0.000
20210419,   -0.73,   -0.77,    0.79,   0.000
20210420,   -0.94,   -1.18,   -1.56,   0.000
20210421,    1.11,    1.39,    0.10,   0.000
20210422,   -0.77,    0.65,   -0.76,   0.000
20210423,    1.26,    0.75,    0.70,   0.000
20210426,    0.43,    0.87,   -0.50,   0.000
20210427,   -0.03,   -0.16,    0.84,   0.000
20210428,   -0.06,    0.20,    0.19,   0.000
20210429,    0.39,   -1.14,    1.09,   0.000
20210430,   -0.83,   -0.43,   -0.32,   0.000
20210503,    0.17,    0.43,    1.70,   0.000
20210504,   -0.89,   -0.75,    2.00,   0.000
20210505,   -0.06,   -0.46,    1.34,   0.000
20210506,    0.48,   -0.83,    1.20,   0.000
20210507,    0.84,    0.43,   -0.09,   0.000
20210510,   -1.36,   -1.68,    1.70,   0.000
20210511,   -0.63,    0.96,   -0.89,   0.000
20210512,   -2.34,   -1.33,    0.71,   0.000
20210513,    1.02,    0.26,    1.14,   0.000
20210514,    1.81,    0.98,   -0.15,   0.000
20210517,   -0.24,    0.60,    0.83,   0.000
20210518,   -0.69,    0.26,   -0.94,   0.000
20210519,   -0.34,   -0.37,   -0.46,   0.000
20210520,    1.15,   -0.11,   -1.42,   0.000
20210521,   -0.04,    0.22,    0.98,   0.000
20210524,    0.99,   -0.37,   -0.69,   0.000
20210525,   -0.30,   -0.61,   -1.23,   0.000
20210526,    0.47,    1.77,    0.56,   0.000
20210527,    0.28,    0.80,    0.94,   0.000
20210528,    0.04,   -0.30,   -0.30,   0.000
20210601,    0.03,    1.11,    1.45,   0.000
20210602,    0.12,   -0.12,    0.31,   0.000
20210603,   -0.53,   -0.53,    0.72,   0.000
20210604,    0.89,   -0.36,   -0.89,   0.000
20210607,    0.15,    1.57,   -0.96,   0.000
20210608,    0.19,    1.15,   -0.31,   0.000
20210609,   -0.30,   -0.29,   -0.84,   0.000
20210610,    0.40,   -0.89,   -2.04,   0.000
20210611,    0.37,    0.67,    0.18,   0.000
20210614,    0.15,   -0.31,   -1.61,   0.000
20210615,   -0.30,   -0.03,    1.30,   0.000
20210616,   -0.45,    0.44,    0.20,   0.000
20210617,    0.01,   -0.49,   -3.57,   0.000
20210618,   -1.22,   -0.42,   -1.44,   0.000
20210621,    1.34,    0.59,    1.06,   0.000
20210622,    0.58,    0.04,   -0.43,   0.000
20210623,    0.01,    0.55,   -0.29,   0.000
20210624,    0.69,    0.65,    0.23,   0.000
20210625,    0.31,   -0.70,    0.43,   0.000
20210628,    0.22,   -0.49,   -1.60,   0.000
20210629,    0.00,   -0.25,   -0.29,   0.000
20210630,    0.07,   -0.12,    0.76,   0.000
20210701,    0.43,    0.37,    0.41,   0.000
20210702,    0.56,   -1.33,   -0.72,   0.000
20210706,   -0.28,   -0.65,   -1.99,   0.000
20210707,    0.09,   -0.92,    0.08,   0.000
20210708,   -0.86,    0.15,   -0.77,   0.000
20210709,    1.25,    0.62,    1.57,   0.000
20210712,    0.23,   -0.17,    0.56,   0.000
20210713,   -0.56,   -1.13,   -0.41,   0.000
20210714,   -0.26,   -1.16,    0.34,   0.000
20210715,   -0.38,   -0.36,    0.79,   0.000
20210716,   -0.77,   -0.23,   -1.25,   0.000
20210719,   -1.41,    0.31,   -1.74,   0.000
20210720,    1.69,    0.79,    0.16,   0.000
20210721,    0.95,    0.63,    0.79,   0.000
20210722,    0.09,   -1.34,   -1.01,   0.000
20210723,    0.98,   -0.10,   -0.47,   0.000
20210726,    0.18,   -0.09,    1.33,   0.000
20210727,   -0.66,   -0.66,    0.60,   0.000
20210728,    0.27,    1.41,   -0.66,   0.000
20210729,    0.41,   -0.01,    0.94,   0.000
20210730,   -0.65,   -0.07,   -0.17,   0.000
20210802,   -0.12,   -0.15,   -0.41,   0.000
20210803,    0.73,   -0.48,    0.92,   0.000
20210804,   -0.39,   -0.61,   -1.56,   0.000
20210805,    0.74,    1.14,   -0.10,   0.000
20210806,    0.09,    0.05,    1.88,   0.000
20210809,    0.01,   -0.36,   -0.26,   0.000
20210810,    0.06,    0.00,    1.82,   0.000
20210811,    0.19,   -0.01,    1.41,   0.000
20210812,    0.24,   -0.59,   -0.40,   0.000
20210813,    0.00,   -0.85,   -0.25,   0.000
20210816,   -0.05,   -0.86,    0.05,   0.000
20210817,   -0.80,   -0.45,   -0.11,   0.000
20210818,   -0.95,    0.12,   -0.19,   0.000
20210819,   -0.15,   -0.79,   -0.82,   0.000
20210820,    0.92,    1.00,   -0.49,   0.000
20210823,    1.08,    0.94,   -0.85,   0.000
20210824,    0.41,    0.36,    0.36,   0.000
20210825,    0.26,   -0.04,    0.36,   0.000
20210826,   -0.65,   -0.39,   -0.32,   0.000
20210827,    1.07,    1.62,    0.30,   0.000
20210830,    0.35,   -0.35,   -1.37,   0.000
20210831,   -0.13,    0.44,   -0.05,   0.000
20210901,    0.11,    0.59,   -0.94,   0.000
20210902,    0.36,    0.10,   -0.04,   0.000
20210903,   -0.01,   -0.38,   -0.26,   0.000
20210907,   -0.36,   -0.14,   -0.09,   0.000
20210908,   -0.34,   -0.81,    0.08,   0.000
20210909,   -0.27,    0.23,    0.09,   0.000
20210910,   -0.76,   -0.10,    0.02,   0.000
20210913,    0.14,   -0.05,    1.34,   0.000
20210914,   -0.66,   -0.50,   -0.97,   0.000
20210915,    0.88,    0.02,    0.63,   0.000
20210916,   -0.03,    0.04,   -0.55,   0.000
20210917,   -0.72,    0.99,   -0.05,   0.000
20210920,   -1.87,   -0.58,    0.23,   0.000
20210921,    0.05,    0.45,   -0.67,   0.000
20210922,    1.00,    0.17,    0.53,   0.000
20210923,    1.28,    0.36,    0.93,   0.000
20210924,    0.08,   -0.47,    0.70,   0.000
20210927,   -0.10,    1.25,    2.43,   0.000
20210928,   -2.18,   -0.44,    1.76,   0.000
20210929,    0.03,   -0.30,    0.80,   0.000
20210930,   -1.02,    0.32,   -0.77,   0.000
20211001,    1.10,    0.40,    0.50,   0.000
20211004,   -1.43,   -0.03,    2.34,   0.000
20211005,    1.05,   -0.52,   -0.07,   0.000
20211006,    0.33,   -0.86,   -0.49,   0.000
20211007,    1.01,    0.53,   -0.17,   0.000
20211008,   -0.28,   -0.61,    1.12,   0.000
20211011,   -0.72,    0.32,   -0.28,   0.000
20211012,   -0.06,    0.63,   -0.44,   0.000
20211013,    0.43,    0.14,   -1.06,   0.000
20211014,    1.65,   -0.34,   -0.27,   0.000
20211015,    0.63,   -1.20,    0.30,   0.000
20211018,    0.41,   -0.25,   -0.01,   0.000
20211019,    0.71,   -0.49,   -0.23,   0.000
20211020,    0.34,   -0.02,    1.19,   0.000
20211021,    0.37,    0.21,   -0.95,   0.000
20211022,   -0.25,   -0.24,    1.01,   0.000
20211025,    0.58,    0.48,   -0.15,   0.000
20211026,    0.04,   -0.71,   -0.31,   0.000
20211027,   -0.76,   -0.74,   -1.18,   0.000
20211028,    1.14,    0.88,   -0.49,   0.000
20211029,    0.22,    0.20,   -0.84,   0.000
20211101,    0.51,    2.02,    0.44,   0.000
20211102,    0.24,   -0.29,   -0.54,   0.000
20211103,    0.80,    1.45,   -0.12,   0.000
20211104,    0.39,   -0.03,   -1.37,   0.000
20211105,    0.38,    0.68,    1.19,   0.000
20211108,    0.18,    0.02,    0.07,   0.000
20211109,   -0.35,   -0.18,    0.45,   0.000
20211110,   -1.07,   -0.65,    0.94,   0.000
20211111,    0.24,    0.54,    0.33,   0.000
20211112,    0.74,   -0.32,   -0.91,   0.000
20211115,   -0.02,   -0.54,    0.71,   0.000
20211116,    0.50,    0.04,   -0.72,   0.000
20211117,   -0.47,   -0.55,   -0.25,   0.000
20211118,    0.06,   -0.57,   -0.07,   0.000
20211119,   -0.20,   -0.17,   -1.29,   0.000
20211122,   -0.61,   -0.54,    2.76,   0.000
20211123,   -0.03,   -0.52,    1.75,   0.000
20211124,    0.30,    0.03,   -0.87,   0.000
20211126,   -2.22,   -1.23,   -0.92,   0.000
20211129,    1.11,   -1.01,   -0.79,   0.000
20211130,   -1.95,    0.52,   -1.13,   0.000
20211201,   -1.61,   -0.80,    1.10,   0.000
20211202,    1.51,    0.72,    1.27,   0.000
20211203,   -1.21,   -1.13,    1.06,   0.000
20211206,    1.19,    0.75,    0.63,   0.000
20211207,    2.22,    0.20,   -1.79,   0.000
20211208,    0.47,    0.66,   -0.83,   0.000
20211209,   -1.07,   -1.37,    1.57,   0.000
20211210,    0.70,   -0.83,    0.50,   0.000
20211213,   -1.04,   -0.31,   -0.98,   0.000
20211214,   -0.76,   -0.67,    1.64,   0.000
20211215,    1.62,    0.39,   -1.91,   0.000
20211216,   -1.20,   -1.60,    2.78,   0.000
20211217,   -0.65,    1.89,   -2.33,   0.000
20211220,   -1.27,   -0.15,   -0.41,   0.000
20211221,    2.06,    0.82,    0.19,   0.000
20211222,    0.97,    0.25,   -0.36,   0.000
20211223,    0.71,    0.35,   -0.48,   0.000
20211227,    1.22,   -0.11,    0.29,   0.000
20211228,   -0.27,   -0.60,    0.81,   0.000
20211229,    0.06,   -0.07,    0.17,   0.000
20211230,   -0.15,    0.10,   -0.40,   0.000
20211231,   -0.31,    0.04,    0.53,   0.000
20220103,    0.73,    0.33,    0.78,   0.000
20220104,   -0.29,   -0.82,    3.62,   0.000
20220105,   -2.28,   -1.46,    2.60,   0.000
20220106,    0.00,    0.21,    1.75,   0.000
20220107,   -0.48,   -1.32,    2.02,   0.000
20220110,   -0.15,   -0.22,   -0.28,   0.000
20220111,    1.10,   -0.08,   -0.30,   0.000
20220112,    0.12,   -0.88,    0.50,   0.000
20220113,   -1.57,    0.30,    2.41,   0.000
20220114,    0.08,    0.18,    0.54,   0.000
20220118,   -2.08,   -1.03,    1.37,   0.000
20220119,   -1.01,   -0.33,   -0.67,   0.000
20220120,   -1.14,   -0.86,   -0.23,   0.000
20220121,   -2.10,    0.28,    0.49,   0.000
20220124,    0.53,    1.81,   -0.25,   0.000
20220125,   -1.43,   -0.61,    2.79,   0.000
20220126,   -0.30,   -1.08,    0.09,   0.000
20220127,   -0.79,   -1.64,    0.79,   0.000
20220128,    2.45,   -0.14,   -2.07,   0.000
20220131,    2.34,    1.31,   -2.86,   0.000
20220201,    0.87,    0.05,    0.65,   0.000
20220202,    0.48,   -1.74,    0.72,   0.000
20220203,   -2.49,   -0.05,    2.18,   0.000
20220204,    0.89,   -0.02,   -0.60,   0.000
20220207,   -0.25,    0.53,    0.23,   0.000
20220208,    1.02,    0.68,   -0.28,   0.000
20220209,    1.61,    0.22,   -1.95,   0.000
20220210,   -1.69,   -0.14,    1.23,   0.000
20220211,   -1.92,    0.60,    2.13,   0.000
20220214,   -0.35,    0.21,   -0.59,   0.000
20220215,    1.87,    1.33,   -1.42,   0.000
20220216,   -0.02,   -0.09,    0.31,   0.000
20220217,   -2.28,   -0.28,    1.10,   0.000
20220218,   -0.87,   -0.09,    0.93,   0.000
20220222,   -1.18,   -0.48,    0.11,   0.000
20220223,   -1.96,   -0.20,    1.26,   0.000
20220224,    1.89,    1.51,   -3.86,   0.000
20220225,    2.23,   -0.41,    1.22,   0.000
20220228,    0.05,    0.63,   -0.50,   0.000
20220301,   -1.57,   -0.10,   -0.81,   0.000
20220302,    1.81,    0.42,    1.34,   0.000
20220303,   -0.88,   -0.57,    1.52,   0.000
20220304,   -1.10,   -0.67,    0.68,   0.000
20220307,   -3.12,    0.58,    0.89,   0.000
20220308,   -0.52,    1.02,    0.32,   0.000
20220309,    2.80,    0.32,   -2.09,   0.000
20220310,   -0.47,    0.11,    1.16,   0.000
20220311,   -1.49,   -0.44,    1.79,   0.000
20220314,   -1.06,   -1.34,    1.77,   0.000
20220315,    2.15,   -0.12,   -2.39,   0.000
20220316,    2.61,    0.80,   -1.83,   0.000
20220317,    1.43,    0.29,   -1.09,   0.000
20220318,    1.33,    0.27,   -1.85,   0.000
20220321,   -0.18,   -1.11,    1.59,   0.000
20220322,    1.31,    0.04,   -1.16,   0.000
20220323,   -1.26,   -0.64,    0.37,   0.000
20220324,    1.42,   -0.09,   -0.79,   0.000
20220325,    0.27,   -0.59,    2.18,   0.000
20220328,    0.73,   -0.56,   -1.70,   0.000
20220329,    1.45,    1.54,   -1.92,   0.000
20220330,   -0.83,   -1.27,    0.40,   0.000
20220331,   -1.55,    0.71,   -0.44,   0.000
20220401,    0.39,    0.69,   -0.59,   0.001
20220404,    0.94,   -0.05,   -1.88,   0.001
20220405,   -1.54,   -0.97,    0.84,   0.001
20220406,   -1.24,   -0.66,    1.09,   0.001
20220407,    0.33,   -0.61,   -0.13,   0.001
20220408,   -0.39,   -0.99,    2.24,   0.001
20220411,   -1.53,    0.29,    1.06,   0.001
20220412,   -0.29,    0.55,    0.46,   0.001
20220413,    1.40,    0.93,   -0.71,   0.001
20220414,   -1.28,    0.03,    1.41,   0.001
20220418,   -0.21,   -0.81,    1.80,   0.001
20220419,    1.77,    0.59,   -0.95,   0.001
20220420,   -0.28,    0.19,    1.26,   0.001
20220421,   -1.75,   -0.71,    0.41,   0.001
20220422,   -2.74,    0.32,   -0.16,   0.001
20220425,    0.71,    0.43,   -1.83,   0.001
20220426,   -3.00,   -0.67,    1.79,   0.001
20220427,    0.12,   -0.61,    0.34,   0.001
20220428,    2.44,   -0.19,   -0.45,   0.001
20220429,   -3.53,    0.74,    0.59,   0.001
20220502,    0.80,    0.59,   -1.15,   0.001
20220503,    0.41,   -0.17,    1.62,   0.001
